"qa-api-testrun-policy","03/25/2022 at 03:45:27 (GMT-0700)"
"peoplereign.io","5205 Prospect Dr. 135-381",,"San Jose","California","United States of America","95129"
"Prem Kasha","peper6pk","Manager"
SUMMARY
Policy Title,Policy Locking,Policy Modified,Policy Last Evaluated,Asset Groups,IPs,Asset Tags,Host Instance,PC Agent IPs,Technologies,Controls,Assets,Control Instances,Passed,Failures,Error,Approved Exceptions,Pending Exceptions
"CIS Benchmark for Red Hat Enterprise Linux 7, v3.1.1 [Automated and Manual, Level 1 and Level 2] v.4.0","Locked - CIS Certified Policy","03/18/2022 at 10:05:03 (GMT-0700)","03/25/2022 at 03:25:03 (GMT-0700)",,"N/A",,"10.10.50.6 (os)","No","Red Hat Enterprise Linux 7.x","458","1","458","378 (82.53%)","80 (17.47%)","0","0","0"
HOST STATISTICS
IP Address,Tracking Method,DNS Name,Netbios Name,Operating System,Last Scan Date,Percentage,Qualys Host ID,Host ID
"10.10.50.6","AGENT","audit-test.home.private","'-","Red Hat Enterprise Linux Server 7.9","03/25/2022 at 01:09:43 (GMT-0700)","82.53% (378 of 458)","726bdae6-9d4e-481d-bc57-5fffd87b0157","1393891"
ASSET TAGS
"10.10.50.6","Cloud Agent","Corp"
RESULTS
Host IP,DNS Hostname,NetBIOS Hostname,Tracking Method,Operating System,NETWORK,Last Scan Date,Evaluation Date,Control ID,Technology,Control,Criticality Label,Criticality Value,Rationale,Status,Remediation,Deprecated,Evidence,Exception Assignee,Exception Status,Exception End Date,Exception Creator,Exception Created Date,Exception Modifier,Exception Modified Date,Exception Comments History,Qualys Host ID
"10.10.50.6","audit-test.home.private","'-","AGENT","Red Hat Enterprise Linux Server 7.9","Global Default Network","03/25/2022 at 01:09:43 (GMT-0700)","03/25/2022 at 01:13:03 (GMT-0700)","7969","Red Hat Enterprise Linux 7.x","Status of 'auid' audit parameter in the '/etc/audit/audit.rules' file on the host","SERIOUS","3","The 'auid' audit parameter writes an audit record if the user id is greater than or equal to '1000', identifying the user as 'non-privileged'. These 'auid' audit records are reported to a repository for review and investigation. As the 'auid' audit parameter is part of the Audit subsystem and is legal evidence of chronological activity on the host, the configuration of this parameter should be done according to the needs of the business.","Failed",,"0","The following List String value(s) <b>X</b> indicate the current <b>path, perm, and auid</b> settings within the <b>privileged programs (programs with setuid and/or setgid bits set on execution)</b> on the host. <b>NOTE:</b> According to the CIS Benchmark, the '/etc/audit/audit.rules' file should be updated to record attempted access by unauthorized users of any privileged commands (privileged commands have setuid and/or setgid on execution).

======Expected Value(s)======

File not found
------------ OR ------------
matches regular expression list
.*\sauid>=1000\s+.*

======Current Value(s) - Last updated: 03/25/2022 at 01:09:43 AM (GMT-0700)======
Setting not found

======Extended Evidence======:
Row 1:File name,Pattern
Row 2:/etc/audit/audit.rules,\-F path=.*\-F perm=.*\-F auid.*\-k privileged",,,,,,,,,"726bdae6-9d4e-481d-bc57-5fffd87b0157"
"10.10.50.6","audit-test.home.private","'-","AGENT","Red Hat Enterprise Linux Server 7.9","Global Default Network","03/25/2022 at 01:09:43 (GMT-0700)","03/25/2022 at 01:13:03 (GMT-0700)","8184","Red Hat Enterprise Linux 7.x","Status of ""Daemon events"" audit parameter in the '/etc/audit/audit.rules' file on the host","SERIOUS","3","The 'auid' audit parameter ignores Daemon events. These 'auid' audit records are reported to a repository for review and investigation. As the 'auid' audit parameter is part of the Audit subsystem and is legal evidence of chronological activity on the host, the configuration of this parameter should be done according to the needs of the business.","Failed",,"0","The following List String value(s) <b>X</b> indicate the current <b>path, perm, and auid</b> settings within the <b>privileged programs (programs with setuid and/or setgid bits set on execution)</b> on the host. <b>NOTE:</b> According to the CIS Benchmark, the '/etc/audit/audit.rules' file should be updated to record attempted access by unauthorized users of any privileged commands (privileged commands have setuid and/or setgid on execution).

======Expected Value(s)======

File not found
------------ OR ------------
matches regular expression list
.*\sauid\!=4294967295\s+.*

======Current Value(s) - Last updated: 03/25/2022 at 01:09:43 AM (GMT-0700)======
Setting not found

======Extended Evidence======:
Row 1:File name,Pattern
Row 2:/etc/audit/audit.rules,\-F path=.*\-F perm=.*\-F auid.*\-k privileged",,,,,,,,,"726bdae6-9d4e-481d-bc57-5fffd87b0157"
"10.10.50.6","audit-test.home.private","'-","AGENT","Red Hat Enterprise Linux Server 7.9","Global Default Network","03/25/2022 at 01:09:43 (GMT-0700)","03/25/2022 at 01:13:03 (GMT-0700)","13230","Red Hat Enterprise Linux 7.x","List of runtime audit rules for 'privileged' key, using auditctl","SERIOUS","3","The 'setuid' and 'setguid' permission flags enables users to execute files with the privileges of the owner and the group respectively. Monitoring the execution of such files can be useful in detecting unauthorized access to the critical programs. Thus, execution of such privileged executable should be logged according to the business needs and organization's security policies.","Failed",,"0","The following List String value(s) <b>X</b> indicates the <b>runtime audit rules</b> defined on the system for the <b>privileged</b> key, fetched with the <b>auditctl</b> command.

======Expected Value(s)======

No Rules Found
------------ OR ------------
matches regular expression list
\s-F\s+perm=x\b

======Current Value(s) - Last updated: 03/25/2022 at 01:09:43 AM (GMT-0700)======
Setting Not Found

======Extended Evidence======:
Row 1:Pattern,Rule",,,,,,,,,"726bdae6-9d4e-481d-bc57-5fffd87b0157"
"10.10.50.6","audit-test.home.private","'-","AGENT","Red Hat Enterprise Linux Server 7.9","Global Default Network","03/25/2022 at 01:09:43 (GMT-0700)","03/25/2022 at 01:13:03 (GMT-0700)","12850","Red Hat Enterprise Linux 7.x","List of runtime audit rules for 'mount', using auditctl","SERIOUS","3","The mount (and umount ) system call controls the mounting of the file system and creates an audit record of the event based upon the setting within the '/etc/audit/audit.rules' file.  As this setting directly affects the record of chronological activity on the host, and can serve as legal evidence; the 'mount' setting should be configured according to the needs of the business.","Passed",,"0","The following List String value(s) <b>X</b> indicates the <b>runtime audit rules</b> defined on the system for the <b>mount</b> system call, fetched with the <b>auditctl</b> command.

======Expected Value(s)======
matches regular expression list
\bmount\b

======Current Value(s) - Last updated: 03/25/2022 at 01:09:43 AM (GMT-0700)======
-a always,exit -F arch=b64 -S mount -F auid!=-1 -F key=mounts

======Extended Evidence======:
Row 1:Pattern,Rule
Row 2:mount,-a always,exit -F arch=b64 -S mount -F auid!=-1 -F key=mounts",,,,,,,,,"726bdae6-9d4e-481d-bc57-5fffd87b0157"
"10.10.50.6","audit-test.home.private","'-","AGENT","Red Hat Enterprise Linux Server 7.9","Global Default Network","03/25/2022 at 01:09:43 (GMT-0700)","03/25/2022 at 01:13:03 (GMT-0700)","17539","Red Hat Enterprise Linux 7.x","Status of the 'mount' syscall parameter defined in the '/etc/audit/rules.d/*.rules' files","SERIOUS","3","The 'mount' syscall parameter controls the mounting of the file system and creates an audit record of the event based upon the setting within the audit configuration. This setting directly affects the record of chronological activity on the host, and can serve as legal evidence. As the effective audit configuration gets generated from the files under /etc/audit/rules.d/ folder, this syscall parameter should be configured in these files according to the needs of the business.","Passed",,"0","The following List String value(s) of <b>X</b> indicate the current status of the <b>mount</b> setting within <b>/etc/audit/rules.d/*.rules</b> files on the host.

======Expected Value(s)======
matches regular expression list
\bmount\b

======Current Value(s) - Last updated: 03/25/2022 at 01:09:43 AM (GMT-0700)======
-a always,exit -F arch=b64 -S mount -F auid>=1000 -F auid!=4294967295 -k mounts

======Extended Evidence======:
Row 1:File,Rule
Row 2:/etc/audit/rules.d/audit.rules,-a always,exit -F arch=b64 -S mount -F auid>=1000 -F auid!=4294967295 -k mounts",,,,,,,,,"726bdae6-9d4e-481d-bc57-5fffd87b0157"
"10.10.50.6","audit-test.home.private","'-","AGENT","Red Hat Enterprise Linux Server 7.9","Global Default Network","03/25/2022 at 01:09:43 (GMT-0700)","03/25/2022 at 01:13:03 (GMT-0700)","12854","Red Hat Enterprise Linux 7.x","List of runtime audit rules for 'renameat', using auditctl","SERIOUS","3","The 'renameat' syscall parameter changes a file(s) name(s) based on directory file descriptors.  Any other hard links to the file are unaffected. As there are significant risks to changing file names and locations, especially for critical system or log files, the 'renameat' syscall parameter should be configured according to the needs of the business.","Passed",,"0","The following List String value(s) <b>X</b> indicates the status of <b>runtime auditctl rules</b> defined for the <b>renameat</b> system call. The auditctl -l command is used to fetch the values.

======Expected Value(s)======
matches regular expression list
\brenameat\b

======Current Value(s) - Last updated: 03/25/2022 at 01:09:43 AM (GMT-0700)======
-a always,exit -F arch=b64 -S rename,unlink,unlinkat,renameat -F auid!=-1 -F key=delete

======Extended Evidence======:
Row 1:Pattern,Rule
Row 2:renameat,-a always,exit -F arch=b64 -S rename,unlink,unlinkat,renameat -F auid!=-1 -F key=delete",,,,,,,,,"726bdae6-9d4e-481d-bc57-5fffd87b0157"
"10.10.50.6","audit-test.home.private","'-","AGENT","Red Hat Enterprise Linux Server 7.9","Global Default Network","03/25/2022 at 01:09:43 (GMT-0700)","03/25/2022 at 01:13:03 (GMT-0700)","17543","Red Hat Enterprise Linux 7.x","Status of the 'renameat' syscall parameter defined in the '/etc/audit/rules.d/*.rules' files","SERIOUS","3","The 'renameat' syscall parameter changes a file(s) name(s) based on directory file descriptors. There are significant risks to changing file names and locations, especially for critical system or log files. As the effective audit configuration gets generated from the files under /etc/audit/rules.d/ folder, this syscall parameter should be configured in these files according to the needs of the business.","Passed",,"0","The following List String value(s) of <b>X</b> indicate the current status of the <b>renameat</b> setting within <b>/etc/audit/rules.d/*.rules</b> files on the host.

======Expected Value(s)======
matches regular expression list
\brenameat\b

======Current Value(s) - Last updated: 03/25/2022 at 01:09:43 AM (GMT-0700)======
-a always,exit -F arch=b64 -S unlink -S unlinkat -S rename -S renameat -F auid>=1000 -F auid!=4294967295 -k delete

======Extended Evidence======:
Row 1:File,Rule
Row 2:/etc/audit/rules.d/audit.rules,-a always,exit -F arch=b64 -S unlink -S unlinkat -S rename -S renameat -F auid>=1000 -F auid!=4294967295 -k delete",,,,,,,,,"726bdae6-9d4e-481d-bc57-5fffd87b0157"
"10.10.50.6","audit-test.home.private","'-","AGENT","Red Hat Enterprise Linux Server 7.9","Global Default Network","03/25/2022 at 01:09:43 (GMT-0700)","03/25/2022 at 01:13:03 (GMT-0700)","12853","Red Hat Enterprise Linux 7.x","List of runtime audit rules for 'rename', using auditctl","SERIOUS","3","The 'rename' syscall parameter alters the name(s) of file(s) and can change directories, if needed. Any other hard links to the file are unaffected. As there are significant risks to changing file names and locations, especially for critical system or log files, the 'rename' syscall parameter should be configured according to the needs of the business.","Passed",,"0","The following List String value(s) <b>X</b> indicates the status of <b>runtime auditctl rules</b> defined for the <b>rename</b> system call. The auditctl -l command is used to fetch the values.

======Expected Value(s)======
matches regular expression list
\brename\b

======Current Value(s) - Last updated: 03/25/2022 at 01:09:43 AM (GMT-0700)======
-a always,exit -F arch=b64 -S rename,unlink,unlinkat,renameat -F auid!=-1 -F key=delete

======Extended Evidence======:
Row 1:Pattern,Rule
Row 2:rename([[:blank:]]|,|$),-a always,exit -F arch=b64 -S rename,unlink,unlinkat,renameat -F auid!=-1 -F key=delete",,,,,,,,,"726bdae6-9d4e-481d-bc57-5fffd87b0157"
"10.10.50.6","audit-test.home.private","'-","AGENT","Red Hat Enterprise Linux Server 7.9","Global Default Network","03/25/2022 at 01:09:43 (GMT-0700)","03/25/2022 at 01:13:03 (GMT-0700)","17542","Red Hat Enterprise Linux 7.x","Status of the 'rename' syscall parameter defined in the '/etc/audit/rules.d/*.rules' files","SERIOUS","3","The 'rename' syscall parameter alters the name(s) of file(s) and can change directories, if needed. There are significant risks to changing file names and locations, especially for critical system or log files. As the effective audit configuration gets generated from the files under /etc/audit/rules.d/ folder, this syscall parameter should be configured in these files according to the needs of the business.","Passed",,"0","The following List String value(s) of <b>X</b> indicate the current status of the <b>rename</b> setting within <b>/etc/audit/rules.d/*.rules</b> files on the host.

======Expected Value(s)======
matches regular expression list
\brename\b

======Current Value(s) - Last updated: 03/25/2022 at 01:09:43 AM (GMT-0700)======
-a always,exit -F arch=b64 -S unlink -S unlinkat -S rename -S renameat -F auid>=1000 -F auid!=4294967295 -k delete

======Extended Evidence======:
Row 1:File,Rule
Row 2:/etc/audit/rules.d/audit.rules,-a always,exit -F arch=b64 -S unlink -S unlinkat -S rename -S renameat -F auid>=1000 -F auid!=4294967295 -k delete",,,,,,,,,"726bdae6-9d4e-481d-bc57-5fffd87b0157"
"10.10.50.6","audit-test.home.private","'-","AGENT","Red Hat Enterprise Linux Server 7.9","Global Default Network","03/25/2022 at 01:09:43 (GMT-0700)","03/25/2022 at 01:13:03 (GMT-0700)","12852","Red Hat Enterprise Linux 7.x","List of runtime audit rules for 'unlinkat', using auditctl","SERIOUS","3","The 'unlinkat' syscall parameter eliminates a directory based upon the directory file descriptor.  As there several well known DoS and kernel-bypassing exploits involving extended attributes, auditing file deletions will create an audit trail for files that are removed from the system. The 'unlinkat' syscall parameter should be configured according to the needs of the business.","Passed",,"0","The following List String value(s) <b>X</b> indicates the status of <b>runtime auditctl rules</b> defined for the <b>unlinkat</b> system call. The auditctl -l command is used to fetch the values.

======Expected Value(s)======
matches regular expression list
\bunlinkat\b

======Current Value(s) - Last updated: 03/25/2022 at 01:09:43 AM (GMT-0700)======
-a always,exit -F arch=b64 -S rename,unlink,unlinkat,renameat -F auid!=-1 -F key=delete

======Extended Evidence======:
Row 1:Pattern,Rule
Row 2:unlinkat,-a always,exit -F arch=b64 -S rename,unlink,unlinkat,renameat -F auid!=-1 -F key=delete",,,,,,,,,"726bdae6-9d4e-481d-bc57-5fffd87b0157"
